Opex item,Value basis,Base year,Applicant comment,Year,Cost
Operations,Real,2025,,2026,100000.0
Operations,Real,2025,,2027,100000.0
Operations,Real,2025,,2028,100000.0
Operations,Real,2025,,2029,100000.0
Operations,Real,2025,,2030,100000.0
Operations,Real,2025,,2031,100000.0
Operations,Real,2025,,2032,100000.0
Operations,Real,2025,,2033,100000.0
Operations,Real,2025,,2034,100000.0
Operations,Real,2025,,2035,100000.0
Operations,Real,2025,,2036,100000.0
Operations,Real,2025,,2037,100000.0
Operations,Real,2025,,2038,100000.0
Operations,Real,2025,,2039,100000.0
Operations,Real,2025,,2040,100000.0
Operations,Real,2025,,2041,100000.0
Operations,Real,2025,,2042,100000.0
Operations,Real,2025,,2043,100000.0
Operations,Real,2025,,2044,100000.0
Operations,Real,2025,,2045,100000.0
Operations,Real,2025,,2046,100000.0
Operations,Real,2025,,2047,100000.0
Operations,Real,2025,,2048,100000.0
Operations,Real,2025,,2049,100000.0
Operations,Real,2025,,2050,100000.0
