ProjectId,LifeCycleMonths,Scenario,Fuel type,Units,ETS cost included?,Value basis,Base year,Applicant comment,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070
CL-001,36,BC,Electricity,$/GJ,No,Real,2025,,45.41064712995002,43.40572594907236,40.70503808330961,38.92409268587666,37.14265901767284,35.36094106958118,33.38524701309619,31.68043766560445,32.21296915051405,32.767968741798235,32.76215234808968,32.82794980642996,32.815986856529165,32.79986893864525,32.78381604587615,32.767711470042805,32.75161122571338,32.735499308149926,32.71937097399788,32.7032143041546,32.68706727784361,32.670897236183784,32.654742862703834,32.63858572610573,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,32.622400125843384,0
CL-001,36,BC,Natural Gas,$/GJ,No,Real,2025,,10.58323662981129,10.3757221860895,10.172276653028922,9.972820248067569,9.777274753007422,9.58556348334061,9.397611258177069,9.213344370761831,9.032690559570423,8.855578979971003,8.68194017644216,8.51170605533545,8.34480985817201,8.181186135462754,8.020770721041917,7.86350070690384,7.709314418533176,7.5581513907188,7.409952343841962,7.264659160629373,7.12221486336213,6.9825635915315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,BC,Coal - sub bituminous,$/GJ,No,Real,2025,,7.215843156689516,7.074356035970113,6.935643172519719,6.799650169136979,6.666323695232333,6.5356114659140525,6.407462221484365,6.281825707337612,6.158652654252561,6.037894759071139,5.919504665756019,5.803435946819626,5.689643085117279,5.578081455997332,5.468707309801307,5.361477754707163,5.256350739908984,5.153285039126455,5.052240234437701,4.953176700429118,4.856055588655997,4.760838812407841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,BC,Coal - bituminous,$/GJ,No,Real,2025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,BC,Coal - lignite,$/GJ,No,Real,2025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,BC,Diesel,$/GJ,No,Real,2025,,0.05928984106336857,0.05812729516016526,0.05698754427467183,0.05587014144575668,0.054774648476232056,0.05370063576101182,0.05264768211863904,0.0516153746261167,0.05060330845697716,0.04961108672252663,0.04863832031620257,0.047684627760982916,0.046749635059787166,0.045832975548810946,0.04493428975373622,0.044053225248761006,0.04318943651839314,0.04234258482195406,0.04151233806073928,0.0406983706477836,0.03990036338017999,0.03911800331390196,0.03835098364108035,0.03759900356968661,0.036861768205575116,0.03613898843683835,0.03543038082042975,0.034735667471009556,0.03405457595197015,0.03338683916859819,0.03273219526333156,0.032090387513070154,0.03146116422850015,0.030844278655392302,0.030239488877835587,0.029646557723368223,0.029065252669968844,0.028495345754871414,0.027936613485168058,0.02738883675016476,0.02685180073545565,0.02632529483868201,0.02580911258694315,0.025303051555826617,0.024806913290026093,0
CL-001,36,BC,LPG,$/GJ,No,Real,2025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,BC,Light fuel oil,$/GJ,No,Real,2025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,BC,Heavy fuel oil,$/GJ,No,Real,2025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,BC,Geothermal,$/GJ,No,Real,2025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CL-001,36,BC,Wood or wood chips,$/GJ,No,Real,2025,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
